Age,Name,Country,Sex,Date of Birth,Height cm,Weight kg,Medal winner,Gold,Silver,Bronze,Total,Sport,Number of events,Event,BMI,BMI classification
19,Soren Opti,Suriname,M,5/16/1997,,,No,0,0,0,0,Badminton,1,Badminton Men's Singles,,
32,null,Thailand,F,1/07/1984,166,53,No,0,0,0,0,Athletics,1,Athletics Women's Marathon,19.23356075,Normal
21,Carmiesha Cox,Bahamas,F,5/16/1995,,,No,0,0,0,0,Athletics,1,Athletics Women's 4 x 400m Relay,,
24,Margaux Isaksen,United States,F,10/07/1991,178,60,No,0,0,0,0,Modern Pentathlon,1,Modern Pentathlon Women's Individual,18.9370029,Normal
38,Maksim Oberemko,Russian Federation,M,1/25/1978,186,73,No,0,0,0,0,Sailing,1,Sailing RS:X Men,21.10070528,Normal
36,Madai Perez,Mexico,F,2/02/1980,158,46,No,0,0,0,0,Athletics,1,Athletics Women's Marathon,18.42653421,Underweight
24,Philipine van Aanholt,Aruba,F,5/26/1992,171,65,No,0,0,0,0,Sailing,1,Sailing Laser Radial Women,22.22906193,Normal
21,Jack McLoughlin,Australia,M,2/01/1995,183,75,No,0,0,0,0,Aquatics,1,Swimming Men's 1500m Freestyle,22.39541342,Normal
26,null,Russian Federation,F,3/10/1990,173,61,Yes,1,0,0,1,Fencing,1,Fencing Women's Foil Individual,20.38156971,Normal
27,Junxia Yang,China,F,5/02/1989,169,63,No,0,0,0,0,Judo,1,Judo Women -63 kg,22.05805119,Normal
39,Leuris Pupo,Cuba,M,4/09/1977,168,78,No,0,0,0,0,Shooting,1,Shooting 25m Rapid Fire Pistol Men,27.63605442,Overweight
47,Stefano Selva,San Marino,M,8/24/1969,170,65,No,0,0,0,0,Shooting,1,Shooting Trap Men,22.49134948,Normal
33,Zsofia Csonka,Hungary,F,11/12/1983,164,89,No,0,0,0,0,Shooting,1,Shooting 25m Pistol Women,33.09042237,Obese
21,Bediha Gun,Turkey,F,10/26/1994,167,53,No,0,0,0,0,Wrestling,1,Wrestling Women's Freestyle 53 kg,19.00390835,Normal
30,null,Mongolia,F,6/13/1986,165,65,No,0,0,0,0,Judo,1,Judo Women -63 kg,23.87511478,Normal
30,Henri Hurskainen,Sweden,M,11/13/1986,184,80,No,0,0,0,0,Badminton,1,Badminton Men's Singles,23.6294896,Normal
29,Anicka van Emden,Netherlands,F,12/10/1986,169,63,Yes,0,0,1,1,Judo,1,Judo Women -63 kg,22.05805119,Normal
28,null,Russian Federation,M,5/21/1988,187,79,Yes,1,0,0,1,Fencing,2,"Fencing Men's Foil Individual
,Fencing Men's Foil Team",22.59143813,Normal
31,L.j. van Zyl,South Africa,M,7/20/1985,182,79,No,0,0,0,0,Athletics,1,Athletics Men's 400m Hurdles,23.8497766,Normal
28,Amanda Dlamini,South Africa,F,7/22/1988,164,61,No,0,0,0,0,Football,1,Football Women,22.67995241,Normal
28,Simona Frapporti,Italy,F,7/14/1988,177,65,No,0,0,0,0,Cycling,1,Cycling Track Women's Team Pursuit,20.74755019,Normal
42,Wen-Tang Lin,Chinese Taipei,M,6/28/1974,174,77,No,0,0,0,0,Golf,1,Golf Men's Individual Stroke Play,25.43268596,Overweight
39,Danijel Saric,Qatar,M,6/27/1977,195,92,No,0,0,0,0,Handball,1,Handball Men,24.19460881,Normal
31,Mark Overgaard Madsen,Denmark,M,11/23/1984,177,80,Yes,0,1,0,1,Wrestling,1,Wrestling Men's Greco-Roman 75 kg,25.53544639,Overweight
25,null,Georgia,M,6/18/1991,183,75,No,0,0,0,0,Wrestling,1,Wrestling Men's Greco-Roman 75 kg,22.39541342,Normal
27,Jeremy Monnier,France,M,5/05/1989,175,65,No,0,0,0,0,Shooting,2,"Shooting 10m Air Rifle Men
,Shooting 50m Rifle Prone Men",21.2244898,Normal
27,Cindy Roleder,Germany,F,8/21/1989,178,70,No,0,0,0,0,Athletics,1,Athletics Women's 100m Hurdles,22.09317005,Normal
34,Damian Zielinski,Poland,M,12/02/1981,185,92,No,0,0,0,0,Cycling,3,"Cycling Track Men's Sprint
,Cycling Track Men's Keirin
,Cycling Track Men's Team Sprint",26.88093499,Overweight
15,Sally Yee,Fiji,F,4/10/2001,,84,No,0,0,0,0,Table Tennis,1,Table Tennis Women's Singles,,
24,Elena Berta,Italy,F,7/15/1992,171,58,No,0,0,0,0,Sailing,1,Sailing 470 Women,19.83516296,Normal
25,Yelena Ryabova,Turkmenistan,F,11/03/1990,170,56,No,0,0,0,0,Athletics,1,Athletics Women's 200m,19.37716263,Normal
28,Wout Poels,Netherlands,M,10/01/1987,186,67,No,0,0,0,0,Cycling,2,"Cycling Road Men's Individual Time Trial
,Cycling Road Men's Road Race",19.36640074,Normal
22,Oleg Stepko,Azerbaijan,M,3/25/1994,163,55,No,0,0,0,0,Gymnastics,8,"Artistic Gymnastics Men
,Artistic Gymnastics Men's Floor Exercise
,Artistic Gymnastics Men's Vault
,Artistic Gymnastics Men's Parallel Bars
,Artistic Gymnastics Men's Horizontal Bar
,Artistic Gymnastics Men's Rings
,Artistic Gymnastics Men's Pommel Horse
,Artistic Gymnastics Men's Individual All-Around",20.70081674,Normal
27,Jana Labathova,Slovakia,F,11/27/1988,162,50,No,0,0,0,0,Aquatics,1,Synchronised Swimming Duets,19.05197378,Normal
31,Tianna Bartoletta,United States,F,8/30/1985,168,58,Yes,2,0,0,2,Athletics,3,"Athletics Women's 100m
,Athletics Women's Long Jump
,Athletics Women's 4 x 100m Relay",20.54988662,Normal
24,Rose Mary Almanza,Cuba,F,7/13/1992,165,53,No,0,0,0,0,Athletics,1,Athletics Women's 800m,19.46740129,Normal
24,Stanley Joseph,France,M,10/24/1991,181,66,No,0,0,0,0,Athletics,1,Athletics Men's Pole Vault,20.14590519,Normal
21,Seungyun Lee,South Korea,M,4/18/1995,174,80,Yes,1,0,0,1,Archery,2,"Archery Men's Individual
,Archery Men's Team",26.42356982,Overweight
25,Yu Wang,China,M,8/18/1991,190,65,No,0,0,0,0,Athletics,1,Athletics Men's High Jump,18.00554017,Underweight
31,Mouhssine Lahsaini,Morocco,M,8/23/1985,184,77,No,0,0,0,0,Cycling,2,"Cycling Road Men's Individual Time Trial
,Cycling Road Men's Road Race",22.74338374,Normal
26,Mariya Koroleva,United States,F,4/10/1990,166,55,No,0,0,0,0,Aquatics,1,Synchronised Swimming Duets,19.95935549,Normal
23,Gan-Erdene Gankhuyag,Mongolia,M,3/29/1993,162,,No,0,0,0,0,Boxing,1,Boxing Men's Light Fly (46-49kg),,
15,Qian Ren,China,F,2/20/2001,162,49,Yes,1,0,0,1,Aquatics,1,Diving Women's 10m Platform,18.67093431,Normal
28,Bredni Roque Mendoza,Mexico,M,11/11/1987,160,69,No,0,0,0,0,Weightlifting,1,Weightlifting Men's 69kg,26.953125,Overweight
28,Georgii Zantaraia,Ukraine,M,10/21/1987,171,66,No,0,0,0,0,Judo,1,Judo Men -66 kg,22.5710475,Normal
41,Naoko Ishihara,Japan,F,10/22/1974,157,64,No,0,0,0,0,Shooting,1,Shooting Skeet Women,25.96454217,Overweight
23,Ghofran Ahmed,Egypt,M,11/30/1992,192,68,No,0,0,0,0,Taekwondo,1,Taekwondo Men -68kg,18.44618056,Underweight
29,Rhys Howden,Australia,M,4/02/1987,189,84,No,0,0,0,0,Aquatics,1,Water Polo Men,23.51557907,Normal
30,Valentina Truppa,Italy,F,3/18/1986,160,55,No,0,0,0,0,Equestrian,1,Equestrian Dressage Individual,21.484375,Normal
22,Manuel Lajud,Mexico,M,12/25/1993,188,85,No,0,0,0,0,Football,1,Football Men,24.04934359,Normal
31,Tirfi Tsegaye,Ethiopia,F,11/25/1984,162,52,No,0,0,0,0,Athletics,1,Athletics Women's Marathon,19.81405274,Normal
25,Mohamed Hussein,Egypt,M,11/10/1991,188,78,No,0,0,0,0,Aquatics,1,Swimming Men's 200m Individual Medley,22.06880942,Normal
23,null,Poland,F,7/04/1993,170,52,No,0,0,0,0,Modern Pentathlon,1,Modern Pentathlon Women's Individual,17.99307958,Underweight
28,Saulius Ritter,Lithuania,M,8/23/1988,202,110,Yes,0,1,0,1,Rowing,1,Rowing Men's Double Sculls,26.95814136,Overweight
28,Foluke Akinradewo,United States,F,10/05/1987,191,79,Yes,0,0,1,1,Volleyball,1,Volleyball Women,21.65510814,Normal
22,Josua Tuisova,Fiji,M,2/04/1994,180,108,Yes,1,0,0,1,Rugby Sevens,1,Rugby Sevens Men,33.33333333,Obese
26,Yang Fan,China,M,1/03/1990,183,78,No,0,0,0,0,Cycling,1,Cycling Track Men's Team Pursuit,23.29122996,Normal
22,Cameron McEvoy,Australia,M,5/13/1994,185,75,Yes,0,0,2,2,Aquatics,4,"Swimming Men's 50m Freestyle
,Swimming Men's 100m Freestyle
,Swimming Men's 4 x 100m Freestyle Relay
,Swimming Men's 4 x 100m Medley Relay",21.9138057,Normal
18,Nur Shazrin Mohamad Latif,Malaysia,F,2/02/1998,167,63,No,0,0,0,0,Sailing,1,Sailing Laser Radial Women,22.58955144,Normal
34,Kenji Takahashi,Japan,M,8/21/1982,186,77,No,0,0,0,0,Sailing,1,Sailing 49er Men,22.25690831,Normal
25,Mikhail Koudinov,New Zealand,M,6/23/1991,160,59,No,0,0,0,0,Gymnastics,8,"Artistic Gymnastics Men
,Artistic Gymnastics Men's Floor Exercise
,Artistic Gymnastics Men's Vault
,Artistic Gymnastics Men's Parallel Bars
,Artistic Gymnastics Men's Horizontal Bar
,Artistic Gymnastics Men's Rings
,Artistic Gymnastics Men's Pommel Horse
,Artistic Gymnastics Men's Individual All-Around",23.046875,Normal
32,Marcin Pochwala,Poland,M,2/14/1984,182,80,No,0,0,0,0,Canoe,1,Canoe Slalom Canoe Double (C2) Men,24.1516725,Normal
23,Veronika Marchenko,Ukraine,F,4/03/1993,157,48,No,0,0,0,0,Archery,2,"Archery Women's Individual
,Archery Women's Team",19.47340663,Normal
29,Lucie Safarova,Czech Republic,F,2/04/1987,177,67,Yes,0,0,1,1,Tennis,2,"Tennis Women's Singles
,Tennis Women's Doubles",21.38593635,Normal
27,Jhonatan Esquivel,Uruguay,M,10/13/1988,183,86,No,0,0,0,0,Rowing,1,Rowing Men's Single Sculls,25.68007405,Overweight
22,Emma McKeon,Australia,F,5/24/1994,180,60,Yes,1,2,1,4,Aquatics,5,"Swimming Women's 200m Freestyle
,Swimming Women's 100m Butterfly
,Swimming Women's 4 x 100m Freestyle Relay
,Swimming Women's 4 x 200m Freestyle Relay
,Swimming Women's 4 x 100m Medley Relay",18.51851852,Normal
42,Thibaut Vallette,France,M,1/18/1974,171,60,Yes,1,0,0,1,Equestrian,2,"Equestrian Eventing Individual
,Equestrian Eventing Team",20.51913409,Normal
28,Toea Wisil,Papua New Guinea,F,1/01/1988,162,63,No,0,0,0,0,Athletics,1,Athletics Women's 100m,24.00548697,Normal
28,null,Poland,F,4/28/1988,164,55,No,0,0,0,0,Athletics,2,"Athletics Women's 100m
,Athletics Women's 4 x 100m Relay",20.44913742,Normal
37,Gerd Kanter,Estonia,M,5/06/1979,196,125,No,0,0,0,0,Athletics,1,Athletics Men's Discus Throw,32.53852561,Obese
27,Tina Charles,United States,F,12/05/1988,193,88,Yes,1,0,0,1,Basketball,1,Basketball Women,23.6247953,Normal
19,Lexi Weeks,United States,F,11/20/1996,,,No,0,0,0,0,Athletics,1,Athletics Women's Pole Vault,,
26,Steve Johnson,United States,M,12/24/1989,188,86,Yes,0,0,1,1,Tennis,2,"Tennis Men's Singles
,Tennis Men's Doubles",24.33227705,Normal
22,Sarah Kohler,Germany,F,6/20/1994,179,67,No,0,0,0,0,Aquatics,3,"Swimming Women's 400m Freestyle
,Swimming Women's 800m Freestyle
,Swimming Women's 4 x 200m Freestyle Relay",20.91070816,Normal
26,Hollie Webb,Great Britain,F,11/19/1990,165,65,Yes,1,0,0,1,Hockey,1,Hockey Women,23.87511478,Normal
22,Miri Alatrash,Palestine,F,6/27/1994,170,57,No,0,0,0,0,Aquatics,1,Swimming Women's 50m Freestyle,19.72318339,Normal
30,null,Montenegro,F,11/11/1986,180,74,No,0,0,0,0,Handball,1,Handball Women,22.83950617,Normal
17,Anastasiya Voznyak,Ukraine,F,12/09/1998,169,49,No,0,0,0,0,Gymnastics,1,Rhythmic Gymnastics Group All-Around,17.15626204,Underweight
22,Shun Wang,China,M,2/11/1994,191,81,Yes,0,0,1,1,Aquatics,2,"Swimming Men's 200m Individual Medley
,Swimming Men's 400m Individual Medley",22.20333872,Normal
28,Jasper Lefevere,Belgium,M,7/13/1988,171,66,No,0,0,0,0,Judo,1,Judo Men -66 kg,22.5710475,Normal
21,Bautista Ezcurra,Argentina,M,4/21/1995,180,82,No,0,0,0,0,Rugby Sevens,1,Rugby Sevens Men,25.30864198,Overweight
28,Liubov Basova,Ukraine,F,7/16/1988,162,65,No,0,0,0,0,Cycling,1,Cycling Track Women's Keirin,24.76756592,Normal
23,Yajun Li,China,F,4/27/1993,151,53,No,0,0,0,0,Weightlifting,1,Weightlifting Women's 53kg,23.24459454,Normal
21,Maryna Bekh,Ukraine,F,7/18/1995,174,62,No,0,0,0,0,Athletics,1,Athletics Women's Long Jump,20.47826661,Normal
19,Ali Suljic,Sweden,M,11/18/1997,189,80,No,0,0,0,0,Football,1,Football Men,22.39578959,Normal
24,Danila Izotov,Russian Federation,M,10/02/1991,192,90,No,0,0,0,0,Aquatics,2,"Swimming Men's 4 x 100m Freestyle Relay
,Swimming Men's 4 x 200m Freestyle Relay",24.4140625,Normal
22,Jake Milton Green,South Africa,M,3/30/1994,192,90,No,0,0,0,0,Rowing,1,Rowing Men's Four,24.4140625,Normal
22,Oussama Darfalou,Algeria,M,11/29/1993,186,75,No,0,0,0,0,Football,1,Football Men,21.6788068,Normal
24,Karri McMahon,Australia,F,2/27/1992,177,70,No,0,0,0,0,Hockey,1,Hockey Women,22.34351559,Normal
26,null,New Zealand,M,11/03/1990,174,64,No,0,0,0,0,Sailing,1,Sailing 470 Men,21.13885586,Normal
27,Colin Cheng,Singapore,M,11/10/1989,175,80,No,0,0,0,0,Sailing,1,Sailing Laser Men,26.12244898,Overweight
25,Tingmao Shi,China,F,8/31/1991,159,52,Yes,2,0,0,2,Aquatics,2,"Diving Women's 3m Springboard
,Diving Women's Synchronised 3m Springboard",20.56880661,Normal
20,Joshua E Tibatemwa,Uganda,M,11/10/1996,,,No,0,0,0,0,Aquatics,1,Swimming Men's 50m Freestyle,,
26,Mihail Krassilov,Kazakhstan,M,3/05/1990,183,70,No,0,0,0,0,Athletics,1,Athletics Men's Marathon,20.90238586,Normal
23,Federico Bruno,Argentina,M,6/18/1993,185,66,No,0,0,0,0,Athletics,1,Athletics Men's Marathon,19.28414901,Normal
28,Angelique Kerber,Germany,F,1/18/1988,173,68,Yes,0,1,0,1,Tennis,3,"Tennis Women's Singles
,Tennis Women's Doubles
,Tennis Mixed Doubles",22.72043837,Normal
26,Huanhuan Ma,China,F,1/13/1990,178,66,No,0,0,0,0,Aquatics,1,Water Polo Women,20.83070319,Normal
35,Peng Tang,Hong Kong China,M,2/04/1981,178,77,No,0,0,0,0,Table Tennis,2,"Table Tennis Men's Singles
,Table Tennis Men's Team",24.30248706,Normal
20,null,Russian Federation,F,4/14/1996,169,57,Yes,0,1,0,1,Archery,2,"Archery Women's Individual
,Archery Women's Team",19.95728441,Normal
22,Femke Pluim,Netherlands,F,5/10/1994,180,61,No,0,0,0,0,Athletics,1,Athletics Women's Pole Vault,18.82716049,Normal
33,Fredrik Petersen,Sweden,M,8/27/1983,188,80,No,0,0,0,0,Handball,1,Handball Men,22.63467632,Normal
24,Ahmed Ibrahim,Iraq,M,2/25/1992,184,80,No,0,0,0,0,Football,1,Football Men,23.6294896,Normal
32,Blanka Vlasic,Croatia,F,11/08/1983,193,71,Yes,0,0,1,1,Athletics,1,Athletics Women's High Jump,19.06091439,Normal
29,null,South Africa,F,8/16/1987,160,50,No,0,0,0,0,Cycling,1,Cycling Road Women's Road Race,19.53125,Normal
20,Victoria Kaminskaya,Portugal,F,10/07/1995,164,52,No,0,0,0,0,Aquatics,2,"Swimming Women's 200m Individual Medley
,Swimming Women's 400m Individual Medley",19.33372992,Normal
32,Hyunji Yoo,South Korea,F,7/16/1984,175,67,No,0,0,0,0,Handball,1,Handball Women,21.87755102,Normal
26,Daniel Bluman,Colombia,M,3/15/1990,182,72,No,0,0,0,0,Equestrian,1,Equestrian Jumping Individual,21.73650525,Normal
29,Denis Gargaud Chanut,France,M,7/22/1987,181,76,Yes,1,0,0,1,Canoe,1,Canoe Slalom Canoe Single (C1) Men,23.19831507,Normal
24,Jakub Podrazil,Czech Republic,M,1/09/1992,199,100,No,0,0,0,0,Rowing,1,Rowing Men's Pair,25.25188758,Overweight
47,Hedi Gharbi,Tunisia,M,8/05/1969,169,70,No,0,0,0,0,Sailing,1,Sailing Nacra 17 Mixed,24.50894577,Normal
46,Kristina Cook,Great Britain,F,8/31/1970,178,68,No,0,0,0,0,Equestrian,1,Equestrian Eventing Individual,21.46193662,Normal
25,Sam Willoughby,Australia,M,8/15/1991,173,87,No,0,0,0,0,Cycling,1,Cycling BMX Men,29.06879615,Overweight
33,Fatou Dieng,Senegal,F,8/18/1983,167,60,No,0,0,0,0,Basketball,1,Basketball Women,21.51385851,Normal
22,Brayan Ramirez,Honduras,M,6/16/1994,177,66,No,0,0,0,0,Football,1,Football Men,21.06674327,Normal
27,Automne Pavia,France,F,1/03/1989,171,57,No,0,0,0,0,Judo,1,Judo Women -57 kg,19.49317739,Normal
32,Peamwilai Laopeam,Thailand,F,10/20/1983,163,,No,0,0,0,0,Boxing,1,Boxing Women's Fly (48-51kg),,
25,Geoffrey Cheah,Hong Kong China,M,11/10/1990,185,77,No,0,0,0,0,Aquatics,1,Swimming Men's 50m Freestyle,22.49817385,Normal
25,Cammile Adams,United States,F,11/11/1991,173,65,No,0,0,0,0,Aquatics,1,Swimming Women's 200m Butterfly,21.71806609,Normal
24,Anna Lunyova,Ukraine,F,10/01/1991,176,60,No,0,0,0,0,Athletics,1,Athletics Women's Long Jump,19.36983471,Normal
31,Heather O Reilly,United States,F,1/02/1985,166,59,No,0,0,0,0,Football,1,Football Women,21.41094498,Normal
26,Yasmany Daniel Lugo Cabrera,Cuba,M,1/24/1990,190,98,Yes,0,1,0,1,Wrestling,1,Wrestling Men's Greco-Roman 98 kg,27.1468144,Overweight
35,Boonthung Srisung,Thailand,M,5/30/1981,171,59,No,0,0,0,0,Athletics,1,Athletics Men's Marathon,20.17714852,Normal
32,Carina Ana Garcia Kradolfer,Bolivia,F,1/03/1984,160,58,No,0,0,0,0,Shooting,1,Shooting 10m Air Rifle Women,22.65625,Normal
27,null,Spain,M,12/13/1988,180,80,No,0,0,0,0,Rowing,1,Rowing Men's Pair,24.69135802,Normal
30,null,Colombia,M,4/25/1986,185,82,No,0,0,0,0,Tennis,2,"Tennis Men's Doubles
,Tennis Mixed Doubles",23.95909423,Normal
36,Artem Morozov,Ukraine,M,2/29/1980,195,100,No,0,0,0,0,Rowing,1,Rowing Men's Quadruple Sculls,26.29848784,Overweight
24,Shona McCALLIN,Great Britain,F,5/18/1992,165,69,Yes,1,0,0,1,Hockey,1,Hockey Women,25.34435262,Overweight
21,Laurien Leurink,Netherlands,F,11/13/1994,173,67,Yes,0,1,0,1,Hockey,1,Hockey Women,22.38631428,Normal
30,Windi Graterol,Venezuela,M,11/10/1986,205,110,No,0,0,0,0,Basketball,1,Basketball Men,26.1748959,Overweight
20,Filipa Martins,Portugal,F,1/09/1996,163,55,No,0,0,0,0,Gymnastics,6,"Artistic Gymnastics Women
,Artistic Gymnastics Women's Floor Exercise
,Artistic Gymnastics Women's Vault
,Artistic Gymnastics Women's Uneven Bars
,Artistic Gymnastics Women's Balance Beam
,Artistic Gymnastics Women's Individual All-Around",20.70081674,Normal
30,Inna Klinova,Kazakhstan,F,5/13/1986,173,78,No,0,0,0,0,Canoe,2,"Canoe Sprint Women's Kayak Single 200m
,Canoe Sprint Women's Kayak Four 500m",26.06167931,Overweight
28,Iain Jensen,Australia,M,5/23/1988,186,80,Yes,0,1,0,1,Sailing,1,Sailing 49er Men,23.12406059,Normal
27,Felix Drahotta,Germany,M,1/01/1989,200,102,Yes,0,1,0,1,Rowing,1,Rowing Men's Eight,25.5,Overweight
24,Abdul Khalili,Sweden,M,6/07/1992,181,71,No,0,0,0,0,Football,1,Football Men,21.67211013,Normal
28,Kawika Shoji,United States,M,11/11/1987,190,79,Yes,0,0,1,1,Volleyball,1,Volleyball Men,21.88365651,Normal
24,Mustafa Kaya,Turkey,M,6/06/1992,164,65,No,0,0,0,0,Wrestling,1,Wrestling Men's Freestyle 65 kg,24.1671624,Normal
19,null,Greece,F,6/10/1997,168,58,No,0,0,0,0,Fencing,1,Fencing Women's Foil Individual,20.54988662,Normal
23,Ines Remersaro,Uruguay,F,12/02/1992,167,55,No,0,0,0,0,Aquatics,1,Swimming Women's 100m Freestyle,19.72103697,Normal
20,Finn Lynch,Ireland,M,4/23/1996,182,82,No,0,0,0,0,Sailing,1,Sailing Laser Men,24.75546432,Normal
17,Adzo Rebecca Kpossi,Togo,F,1/25/1999,158,53,No,0,0,0,0,Aquatics,1,Swimming Women's 50m Freestyle,21.23057202,Normal
27,Katsuyuki Tanamura,Japan,M,8/03/1989,184,84,No,0,0,0,0,Aquatics,1,Water Polo Men,24.81096408,Normal
22,Megan Simmonds,Jamaica,F,3/18/1994,157,49,No,0,0,0,0,Athletics,1,Athletics Women's 100m Hurdles,19.8791026,Normal
27,Riheb Hammami,Tunisia,F,6/04/1989,170,68,No,0,0,0,0,Sailing,1,Sailing Nacra 17 Mixed,23.52941176,Normal
26,Jamie Subandhi,United States,F,12/15/1989,163,58,No,0,0,0,0,Badminton,1,Badminton Mixed Doubles,21.8299522,Normal
16,Joao Virginia,Portugal,M,10/10/1999,182,72,No,0,0,0,0,Football,1,Football Men,21.73650525,Normal
22,Jack Beaumont,Great Britain,M,11/21/1993,188,88,No,0,0,0,0,Rowing,1,Rowing Men's Quadruple Sculls,24.89814396,Normal
24,Nauraj Singh Randhawa,Malaysia,M,1/27/1992,193,70,No,0,0,0,0,Athletics,1,Athletics Men's High Jump,18.7924508,Normal
21,Joseph Turagabeci,Fiji,M,11/19/1994,169,67,No,0,0,0,0,Football,1,Football Men,23.45856238,Normal
24,Coco Vandeweghe,United States,F,12/06/1991,186,70,No,0,0,0,0,Tennis,1,Tennis Women's Doubles,20.23355301,Normal
20,Jacob Hansford,Australia,M,11/28/1995,182,77,No,0,0,0,0,Aquatics,1,Swimming Men's 4 x 200m Freestyle Relay,23.24598478,Normal
24,Fernando Carro,Spain,M,4/01/1992,170,60,No,0,0,0,0,Athletics,1,Athletics Men's 3000m Steeplechase,20.76124567,Normal
30,Wenxiu Zhang,China,F,3/22/1986,183,105,Yes,0,1,0,1,Athletics,1,Athletics Women's Hammer Throw,31.35357879,Obese
31,Morten Olsen,Denmark,M,10/11/1984,184,95,Yes,1,0,0,1,Handball,1,Handball Men,28.0600189,Overweight
22,Lasha Talakhadze,Georgia,M,10/02/1993,197,157,Yes,1,0,0,1,Weightlifting,1,Weightlifting Men's +105kg,40.45453374,Morbidly obese
21,Minhal Sohail,Pakistan,F,1/03/1995,159,63,No,0,0,0,0,Shooting,1,Shooting 10m Air Rifle Women,24.91990032,Normal
21,null,Dominican Republic,M,11/01/1994,170,63,No,0,0,0,0,Athletics,1,Athletics Men's 4 x 100m Relay,21.79930796,Normal
29,Beatrice Gyaman,Ghana,F,2/17/1987,,53,No,0,0,0,0,Athletics,1,Athletics Women's 4 x 100m Relay,,
26,Floria Guei,France,F,5/02/1990,166,53,No,0,0,0,0,Athletics,2,"Athletics Women's 400m
,Athletics Women's 4 x 400m Relay",19.23356075,Normal
19,Felix Auboeck,Austria,M,12/19/1996,198,85,No,0,0,0,0,Aquatics,3,"Swimming Men's 200m Freestyle
,Swimming Men's 400m Freestyle
,Swimming Men's 1500m Freestyle",21.68146108,Normal
21,Emma Tonegato,Australia,F,3/20/1995,165,63,Yes,1,0,0,1,Rugby Sevens,1,Rugby Sevens Women,23.14049587,Normal
30,Nino Schurter,Switzerland,M,5/13/1986,173,68,Yes,1,0,0,1,Cycling,1,Cycling Mountain Bike Men's Cross-country,22.72043837,Normal
23,Nima Alamian,Iran,M,12/24/1992,174,70,No,0,0,0,0,Table Tennis,1,Table Tennis Men's Singles,23.1206236,Normal
30,Rayton Nduku Okwiri,Kenya,M,3/26/1986,180,,No,0,0,0,0,Boxing,1,Boxing Men's Welter (69kg),,
27,Aletta Jorritsma,Netherlands,F,5/17/1989,186,76,No,0,0,0,0,Rowing,1,Rowing Women's Pair,21.96785756,Normal
28,Jorge Y. Fernandez,Cuba,M,10/02/1987,190,100,No,0,0,0,0,Athletics,1,Athletics Men's Discus Throw,27.70083102,Overweight
42,Segun Toriola,Nigeria,M,11/18/1974,172,70,No,0,0,0,0,Table Tennis,2,"Table Tennis Men's Singles
,Table Tennis Men's Team",23.66143862,Normal
31,Andelo Setka,Croatia,M,11/14/1985,186,87,Yes,0,1,0,1,Aquatics,1,Water Polo Men,25.14741589,Overweight
27,Greg Billington,United States,M,5/30/1989,176,65,No,0,0,0,0,Triathlon,1,Triathlon Men,20.9839876,Normal
24,Stephanie Meadow,Ireland,F,1/20/1992,163,64,No,0,0,0,0,Golf,1,Golf Women's Individual Stroke Play,24.08822312,Normal
32,Dex Elmont,Netherlands,M,1/10/1984,175,73,No,0,0,0,0,Judo,1,Judo Men -73 kg,23.83673469,Normal
20,Blake Govers,Australia,M,7/06/1996,187,85,No,0,0,0,0,Hockey,1,Hockey Men,24.30724356,Normal
28,Galia Dvorak,Spain,F,4/01/1988,,,No,0,0,0,0,Table Tennis,1,Table Tennis Women's Singles,,
22,Shelbi Vaughan,United States,F,8/24/1994,183,127,No,0,0,0,0,Athletics,1,Athletics Women's Discus Throw,37.92290006,Obese
21,Yekaterina Rudenko,Kazakhstan,F,10/16/1994,180,69,No,0,0,0,0,Aquatics,1,Swimming Women's 100m Backstroke,21.2962963,Normal
23,Sione Molia,New Zealand,M,11/05/1993,186,95,No,0,0,0,0,Rugby Sevens,1,Rugby Sevens Men,27.45982194,Overweight
31,Robert van der Horst,Netherlands,M,10/17/1984,179,74,No,0,0,0,0,Hockey,1,Hockey Men,23.09540901,Normal
26,Steven Marshall,Canada,M,11/23/1989,193,87,No,0,0,0,0,Volleyball,1,Volleyball Men,23.35633171,Normal
21,Valeriya Pischelina,Belarus,F,2/27/1995,170,50,No,0,0,0,0,Gymnastics,1,Rhythmic Gymnastics Group All-Around,17.30103806,Underweight
16,null,Angola,M,5/17/2000,171,63,No,0,0,0,0,Athletics,1,Athletics Men's 100m,21.5450908,Normal
18,Hayden Phillips,New Zealand,M,2/06/1998,180,72,No,0,0,0,0,Hockey,1,Hockey Men,22.22222222,Normal
29,Christian Reitz,Germany,M,4/29/1987,184,90,Yes,1,0,0,1,Shooting,1,Shooting 25m Rapid Fire Pistol Men,26.5831758,Overweight
23,Lasha Torgvaidze,Georgia,M,5/26/1993,184,73,No,0,0,0,0,Athletics,1,Athletics Men's Triple Jump,21.56190926,Normal
32,Oribe Peralta,Mexico,M,1/12/1984,178,76,No,0,0,0,0,Football,1,Football Men,23.98687034,Normal
27,Matthew Swann,Australia,M,5/16/1989,170,64,No,0,0,0,0,Hockey,1,Hockey Men,22.14532872,Normal
20,Stephanie Malherbe,South Africa,F,4/05/1996,162,59,No,0,0,0,0,Football,1,Football Women,22.48132907,Normal
23,Hsuan-Yen Lee,Chinese Taipei,M,5/13/1993,173,63,No,0,0,0,0,Aquatics,1,Swimming Men's 200m Breaststroke,21.0498179,Normal
